,2025,10월,,,나주(지역),,,,,,,
,일요일,월요일,화요일,수요일,목요일,금요일,토요일,,"※ 작성 요령
- 부서에서 진행하고 있는 지파 및 교회 핵심 업무와, 담임강사님이 참석하셔야 하는 행사나 모임을 기록해주세요.

- 주요 핵심 업무가 없다면 기록하지 않아도 됩니다.",,,
,28,29,30,01,02,03,04,,,,,
,,,,나주지역 발전회의,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,05,06,07,08,09,10,11,,,,,
,19차 인맞음 확인 시험,,,,,직장인 전도단(저녁),전도행사(노래대회),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,찾기주간(5~11),,,,,,,,,,,
,12,13,14,15,16,17,18,,,,,
,나주지역 주간회의,전도단 모임(오전),인문학,나주지역 발전회의,인문학,인문학,송하오픈행사,,,,,
,계시록 암기 확인 시험,인문학,,,,직장인 전도단(저녁),총회 수료 시험,,,,,
,,,,,,,,,,,,
,찾기주간(12~18),,,,,,,,,,,
,19,20,21,22,23,24,25,,,,,
,나주화순 야외예배(하니움),전도단 모임(오전),인문학,나주지역 발전회의,인문학,인문학,지역전도행사,,,,,
,나주지역 주간회의,인문학,,,,직장인 전도단(저녁),지역방 대청소,,,,,
,20차 인맞음 확인시험,,,,,9월 개강 인원 등록,,,,,,
,,,,,,,,,,,,
,26,27,28,29,30,31,01,,,,,
,나주지역 주간회의,전도단 모임(오전),인문학,나주지역 발전회의,인문학,인문학,,,,,,
,계시록 암기 확인 시험,인문학,,,,직장인 전도단(저녁),,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,02,03,04,메모:,,,,,,,,
,,,,"예배, 인맞음",송하행사,,,,,,,
,,,,신학부(센터),신학부(모임),,,,,,,
,,,,전도부,전도기획,,,,,,,
,,,,관리부,나주지역회의,,,,,,,
,,,,교육부,"봉사,홍보",,,,,,,
,,,,,,,,,,,,
